iter	Passed	Remaining
361	617	1088
362	618	1085
363	619	1082
364	620	1079
365	621	1076
366	622	1074
367	624	1071
368	625	1068
369	626	1065
370	627	1063
371	628	1060
372	629	1057
373	630	1055
374	631	1052
375	632	1049
376	633	1046
377	634	1044
378	635	1041
379	636	1039
380	638	1036
381	639	1034
382	640	1031
383	641	1029
384	642	1026
385	643	1024
386	645	1022
387	646	1019
388	647	1017
389	648	1014
390	649	1012
391	651	1011
392	653	1008
393	654	1006
394	655	1004
395	656	1001
396	657	998
397	658	996
398	659	993
399	660	991
400	662	988
401	663	986
402	664	984
403	665	981
404	667	980
405	668	978
406	670	976
407	671	973
408	672	971
409	673	969
410	674	966
411	675	964
412	676	961
413	677	959
414	678	956
415	679	954
416	682	953
417	683	951
418	684	949
419	685	946
420	686	944
421	687	942
422	688	939
423	690	937
424	691	935
425	692	933
426	693	930
427	694	928
428	696	927
429	697	925
430	699	923
431	700	920
432	701	918
433	702	916
434	703	913
435	704	911
436	705	909
437	706	906
438	707	904
439	709	902
440	710	900
441	712	899
442	713	896
443	714	894
444	715	892
445	716	890
446	718	888
447	719	885
448	720	883
449	721	881
450	723	880
451	724	878
452	727	878
453	729	876
454	730	875
455	731	872
456	733	871
457	734	869
458	736	867
459	737	865
460	738	863
461	739	861
462	740	859
463	742	857
464	744	856
465	745	854
466	746	852
467	747	850
468	749	848
469	750	846
470	751	844
471	753	842
472	754	840
473	756	839
474	758	838
475	760	836
476	761	835
477	763	833
478	764	831
479	766	829
480	767	827
481	768	825
482	769	824
483	772	823
484	774	821
485	775	820
486	777	818
487	779	818
488	781	816
489	782	814
490	785	814
491	788	813
492	789	812
493	791	810
494	792	808
495	794	807
496	795	805
497	797	803
498	798	802
499	800	800
500	802	799
501	803	797
502	805	796
503	807	794
504	809	793
505	812	793
506	815	792
507	820	794
508	824	795
509	826	794
510	828	793
511	831	792
512	833	791
513	837	792
514	839	790
515	840	788
516	842	787
517	847	788
518	848	786
519	851	786
520	853	784
521	854	782
522	855	780
523	857	778
524	858	776
525	862	776
526	865	776
527	867	775
528	870	774
529	871	773
530	873	771
531	876	770
532	879	770
533	882	770
534	883	768
535	885	766
536	886	764
537	887	762
538	889	760
539	892	759
540	893	758
541	895	757
542	897	755
543	898	753
544	900	751
545	901	749
546	902	747
547	903	745
548	908	745
549	910	744
550	912	743
551	913	741
552	915	739
553	916	738
554	918	736
555	923	737
556	927	737
557	928	735
558	930	733
559	932	732
560	933	730
561	937	730
562	939	729
563	940	727
564	951	732
565	954	732
566	956	730
567	958	728
568	959	727
569	961	725
570	962	723
571	963	721
572	965	719
573	968	718
574	970	716
575	971	715
576	973	713
577	974	711
578	976	709
579	977	708
580	978	705
581	980	704
582	982	702
583	983	700
584	985	698
585	986	697
586	988	695
587	989	693
588	991	691
589	992	689
590	993	687
591	994	685
592	998	685
593	1000	683
594	1001	681
595	1003	680
596	1005	678
597	1006	676
598	1007	674
599	1008	672
600	1009	670
601	1012	669
602	1013	667
603	1015	665
604	1016	663
605	1018	661
606	1019	660
607	1020	658
608	1022	656
609	1023	654
610	1025	653
611	1028	651
612	1029	650
613	1030	648
614	1032	646
615	1034	644
616	1035	642
617	1036	640
618	1037	638
619	1039	636
620	1041	635
621	1043	634
622	1045	632
623	1046	630
624	1048	628
625	1049	627
626	1050	625
627	1052	623
628	1053	621
629	1054	619
630	1056	617
631	1058	616
632	1059	614
633	1061	612
634	1062	610
635	1064	609
636	1065	607
637	1066	605
638	1068	603
639	1069	601
640	1071	599
641	1073	598
642	1074	596
643	1075	594
644	1077	592
645	1078	590
646	1079	588
647	1080	587
648	1081	585
649	1083	583
650	1084	581
651	1086	579
652	1088	578
653	1090	576
654	1091	574
655	1092	572
656	1093	570
657	1094	569
658	1095	567
659	1097	565
660	1098	563
661	1099	561
662	1100	559
663	1102	558
664	1104	556
665	1106	554
666	1107	553
667	1109	551
668	1110	549
669	1111	547
670	1112	545
671	1113	543
672	1115	541
673	1117	540
674	1119	538
675	1120	537
676	1122	535
677	1123	533
678	1124	531
679	1126	529
680	1127	528
681	1129	526
682	1133	526
683	1135	524
684	1137	523
685	1139	521
686	1141	519
687	1142	518
688	1147	517
689	1149	516
690	1151	514
691	1153	513
692	1154	511
693	1155	509
694	1157	508
695	1160	506
696	1162	505
697	1164	503
698	1166	502
699	1168	500
700	1169	498
701	1171	497
702	1172	495
703	1174	493
704	1176	492
705	1179	491
706	1180	489
707	1182	487
708	1184	486
709	1186	484
710	1187	482
711	1189	481
712	1190	479
713	1193	478
714	1194	476
715	1196	474
716	1198	473
717	1199	471
718	1201	469
719	1202	467
720	1203	465
721	1205	464
722	1207	462
723	1209	461
724	1211	459
725	1213	457
726	1214	456
727	1216	454
728	1217	452
729	1218	450
730	1222	450
731	1224	448
732	1226	446
733	1228	445
734	1229	443
735	1231	441
736	1232	439
737	1233	437
738	1235	436
739	1238	435
740	1239	433
741	1241	431
742	1242	429
743	1243	428
744	1245	426
745	1246	424
746	1248	422
747	1249	420
748	1251	419
749	1253	417
750	1254	416
751	1256	414
752	1258	412
753	1259	410
754	1260	409
755	1261	407
756	1263	405
757	1264	403
758	1266	402
759	1268	400
760	1269	398
761	1271	397
762	1273	395
763	1274	393
764	1276	392
765	1277	390
766	1282	389
767	1284	387
768	1285	386
769	1287	384
770	1288	382
771	1290	381
772	1292	379
773	1293	377
774	1294	375
775	1297	374
776	1298	372
777	1300	371
778	1302	369
779	1303	367
780	1304	365
781	1306	364
782	1307	362
783	1308	360
784	1310	358
785	1312	357
786	1313	355
787	1315	353
788	1316	352
789	1318	350
790	1319	348
791	1320	346
792	1322	345
793	1324	343
794	1326	341
795	1327	340
796	1328	338
797	1330	336
798	1331	335
799	1332	333
800	1334	331
801	1335	329
802	1336	327
803	1337	326
804	1339	324
805	1341	322
806	1342	321
807	1343	319
808	1344	317
809	1346	315
810	1347	313
811	1348	312
812	1349	310
813	1350	308
814	1351	306
815	1352	305
816	1354	303
817	1356	301
818	1357	299
819	1358	298
820	1359	296
821	1361	294
822	1362	292
823	1363	291
824	1364	289
825	1365	287
826	1366	285
827	1368	284
828	1370	282
829	1371	280
830	1372	279
831	1374	277
832	1375	275
833	1376	274
834	1378	272
835	1379	270
836	1380	268
837	1381	267
838	1386	266
839	1388	264
840	1389	262
841	1391	261
842	1392	259
843	1393	257
844	1395	255
845	1396	254
846	1397	252
847	1400	250
848	1401	249
849	1403	247
850	1404	245
851	1406	244
852	1408	242
853	1418	242
854	1420	240
855	1422	239
856	1424	237
857	1427	236
858	1429	234
859	1432	233
860	1435	231
861	1436	230
862	1438	228
863	1440	226
864	1442	225
865	1445	223
866	1447	222
867	1448	220
868	1450	218
869	1455	217
870	1458	215
871	1463	214
872	1465	213
873	1466	211
874	1468	209
875	1470	208
876	1472	206
877	1474	204
878	1476	203
879	1478	201
880	1479	199
881	1481	198
882	1483	196
883	1484	194
884	1486	193
885	1491	191
886	1494	190
887	1498	189
888	1500	187
889	1502	185
890	1503	183
891	1504	182
892	1506	180
893	1508	178
894	1509	177
895	1511	175
896	1512	173
897	1514	171
898	1515	170
899	1516	168
900	1519	166
901	1523	165
902	1525	163
903	1528	162
904	1530	160
905	1532	158
906	1535	157
907	1537	155
908	1539	154
909	1540	152
910	1542	150
911	1543	148
912	1544	147
913	1546	145
914	1547	143
915	1548	141
916	1549	140
917	1551	138
918	1553	136
919	1555	135
920	1556	133
921	1557	131
922	1559	130
923	1560	128
924	1561	126
925	1563	124
926	1564	123
927	1567	121
928	1568	119
929	1569	118
930	1571	116
931	1573	114
932	1575	113
933	1576	111
934	1578	109
935	1579	107
936	1593	107
937	1595	105
938	1596	103
939	1600	102
940	1601	100
941	1602	98
942	1603	96
943	1604	95
944	1606	93
945	1607	91
946	1608	90
947	1609	88
948	1611	86
949	1613	84
950	1614	83
951	1616	81
952	1617	79
953	1619	78
954	1620	76
955	1621	74
956	1622	72
957	1624	71
958	1625	69
959	1626	67
960	1628	66
961	1629	64
962	1631	62
963	1632	60
964	1633	59
965	1634	57
966	1635	55
967	1637	54
968	1638	52
969	1639	50
970	1640	49
971	1642	47
972	1644	45
973	1646	43
974	1647	42
975	1649	40
976	1651	38
977	1652	37
978	1654	35
979	1655	33
980	1657	32
981	1659	30
982	1660	28
983	1662	27
984	1665	25
985	1666	23
986	1668	21
987	1669	20
988	1672	18
989	1674	16
990	1675	15
991	1677	13
992	1679	11
993	1681	10
994	1682	8
995	1684	6
996	1685	5
997	1687	3
998	1690	1
999	1691	0
